sector,coordinates
sector 1,
sector 2,
sector 3,
sector 4,
sector 5,
sector 6,
sector 7,
sector 8,
sector 9,
sector 10,
sector 11,
sector 12,
sector 13,
sector 14,
sector 15,
sector 16,
sector 17,
sector 18,
sector 19,
sector 20,
sector 21,
sector 22,
sector 23,
sector 24,
sector 25,
sector 26,
sector 27,
sector 28,
sector 29,
sector 30,
sector 31,
sector 32,
sector 33,
sector 34,
sector 35,
sector 36,
sector 37,
sector 38,
sector 39,
sector 40,
sector 41,
sector 42,
sector 43,
sector 44,
sector 45,
sector 46,
sector 47,
sector 48,
sector 49,
sector 50,
sector 51,
sector 52,
sector 53,
sector 54,
sector 55,
sector 56,
sector 57,
sector 58,
sector 59,
sector 60,
sector 61,
sector 62,
sector 63,
sector 64,
sector 65,
sector 66,
sector 67,
sector 68,
sector 69,
sector 70,
sector 71,
sector 72,
sector 73,
sector 74,
sector 75,
sector 76,
sector 77,
sector 78,
sector 79,
sector 80,
sector 81,
sector 82,
sector 83,
sector 84,
sector 85,
sector 86,
sector 87,
sector 88,
sector 89,
sector 90,
sector 91,
sector 92,
sector 93,
sector 94,
sector 95,
sector 96,
sector 97,
sector 98,
sector 99,
sector 100,
sector 101,
sector 102,
sector 103,
sector 104,
sector 105,
sector 106,
sector 107,
sector 108,
sector 109,
sector 110,
sector 111,
sector 112,
sector 113,
sector 114,
sector 115,
