property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,209.0,3.0,4,3.0,Relatively New,2134.0,1,0,high,0.0,low floor,3.4
flat,226.0,3.0,3,4.0,Relatively New,1617.0,1,0,low,1.0,low floor,2.3
house,35.0,2.0,9,3.0,Relatively New,1935.0,0,1,high,2.0,high floor,7.6
flat,242.0,2.0,2,1.0,Relatively New,610.0,0,0,high,2.0,high floor,0.32
flat,127.0,1.0,1,2.0,Relatively New,750.0,0,0,medium,1.0,high floor,0.45
house,198.0,4.0,4,2.0,Moderately Old,1449.0,1,0,high,1.0,mid floor,2.99
flat,134.0,3.0,4,4.0,Relatively New,1797.0,1,0,medium,1.0,high floor,1.5
house,266.0,3.0,3,3.0,new property,1800.0,1,0,high,1.0,high floor,2.65
house,164.0,7.0,2,0.0,Moderately Old,1980.0,0,0,medium,1.0,mid floor,1.5
flat,232.0,3.0,3,1.0,Relatively New,1719.0,0,0,medium,1.0,low floor,1.5
flat,188.0,4.0,4,4.0,Moderately Old,3831.0,1,1,high,2.0,high floor,9.3
flat,229.0,2.0,2,3.0,Relatively New,1630.0,0,0,medium,1.0,high floor,1.19
flat,132.0,3.0,2,2.0,Relatively New,850.0,0,0,medium,1.0,high floor,0.5
flat,129.0,3.0,2,2.0,Under Construction,1120.0,0,0,medium,1.0,high floor,1.4
flat,233.0,2.0,2,3.0,Relatively New,1611.0,0,0,medium,2.0,high floor,1.0
house,60.0,3.0,2,1.0,old property,562.0,0,0,medium,1.0,mid floor,0.45
flat,262.0,3.0,3,4.0,Relatively New,1509.0,0,0,medium,1.0,high floor,1.3
flat,231.0,3.0,3,2.0,Relatively New,1402.0,0,0,medium,2.0,low floor,0.9
house,130.0,2.0,2,0.0,Moderately Old,100.0,0,0,medium,1.0,mid floor,0.5
flat,229.0,3.0,3,2.0,Relatively New,1350.0,1,1,high,0.0,high floor,1.15
flat,212.0,3.0,3,2.0,Relatively New,1428.0,0,0,high,1.0,low floor,1.36
house,265.0,6.0,7,3.0,old property,4500.0,1,1,high,2.0,high floor,16.0
flat,127.0,2.0,2,3.0,Relatively New,1286.0,0,0,medium,2.0,mid floor,1.4
house,197.0,4.0,4,0.0,old property,1500.0,0,0,medium,1.0,mid floor,2.8
house,101.0,5.0,7,4.0,Moderately Old,3240.0,1,0,high,0.0,high floor,10.45
flat,230.0,2.0,2,1.0,Relatively New,537.0,0,1,high,2.0,mid floor,0.34
flat,230.0,2.0,2,0.0,Relatively New,549.0,0,0,medium,1.0,high floor,0.39
house,73.0,3.0,4,1.0,Moderately Old,990.0,0,0,medium,1.0,mid floor,1.1
flat,262.0,2.0,2,2.0,new property,521.0,0,0,medium,1.0,low floor,0.35
flat,239.0,4.0,3,4.0,Relatively New,2107.0,1,1,medium,0.0,high floor,1.75
flat,292.0,2.0,2,1.0,new property,4000.0,0,0,medium,1.0,mid floor,0.95
flat,189.0,3.0,3,3.0,Moderately Old,1604.25,0,0,high,0.0,high floor,2.1
flat,188.0,3.0,3,4.0,Relatively New,1869.0,0,0,high,0.0,high floor,3.65
flat,262.0,2.0,2,4.0,new property,1175.97,0,0,medium,2.0,high floor,0.95
flat,212.0,3.0,3,1.0,Relatively New,1419.0,0,0,high,2.0,low floor,1.29
house,220.0,2.0,2,2.0,new property,745.0,0,0,medium,1.0,low floor,0.75
flat,228.0,3.0,3,4.0,Relatively New,1668.0,0,0,high,1.0,mid floor,1.85
flat,222.0,2.0,2,2.0,Moderately Old,1224.0,0,0,medium,1.0,high floor,0.7
flat,242.0,2.0,2,1.0,Relatively New,610.0,0,0,high,2.0,high floor,0.32
flat,83.0,3.0,3,2.0,Moderately Old,2556.0,0,0,medium,1.0,mid floor,0.85
flat,241.0,4.0,4,3.0,Relatively New,2105.0,0,0,medium,1.0,low floor,1.25
flat,71.0,2.0,2,1.0,Relatively New,1000.0,0,0,medium,2.0,high floor,0.54
flat,216.0,2.0,2,2.0,Relatively New,1084.0,0,0,medium,1.0,high floor,0.79
house,35.0,5.0,5,4.0,Moderately Old,9500.0,1,0,low,1.0,high floor,10.0
flat,198.0,3.0,3,4.0,Moderately Old,2251.0,1,0,high,2.0,high floor,1.71
flat,138.0,3.0,3,3.0,Relatively New,1550.0,0,0,high,0.0,high floor,1.4
flat,209.0,3.0,4,4.0,Relatively New,2490.0,1,0,high,2.0,low floor,3.65
flat,132.0,3.0,2,2.0,Relatively New,750.0,0,0,medium,2.0,high floor,0.6
flat,212.0,3.0,3,2.0,Relatively New,1381.0,0,0,medium,0.0,mid floor,1.44
house,54.0,3.0,2,2.0,Relatively New,100.0,0,0,medium,1.0,low floor,1.6
flat,141.0,4.0,4,4.0,Under Construction,2060.0,0,0,medium,0.0,low floor,2.37
flat,271.0,1.0,2,2.0,new property,334.0,0,0,medium,2.0,high floor,0.2
flat,250.0,2.0,2,4.0,Under Construction,1539.0,0,0,medium,2.0,mid floor,1.5
house,106.0,3.0,3,3.0,Moderately Old,1484.0,0,0,medium,1.0,high floor,1.05
flat,141.0,2.0,2,0.0,Relatively New,1310.0,0,0,medium,2.0,high floor,1.83
house,179.0,3.0,3,2.0,old property,2250.0,0,0,medium,1.0,mid floor,3.2
flat,233.0,3.0,2,2.0,Under Construction,663.0,0,0,medium,1.0,mid floor,0.5
flat,182.0,4.0,4,3.0,Relatively New,2900.0,0,0,medium,1.0,mid floor,3.4
flat,127.0,4.0,4,4.0,Relatively New,4630.0,0,0,high,2.0,low floor,4.55
flat,189.0,3.0,3,2.0,old property,2444.0,0,0,high,0.0,mid floor,1.72
flat,203.0,3.0,3,2.0,Under Construction,1778.0,0,0,medium,1.0,mid floor,2.2
flat,227.0,2.0,2,4.0,Relatively New,1026.0,0,0,medium,2.0,mid floor,0.63
flat,174.0,3.0,3,4.0,Relatively New,1890.0,1,0,medium,0.0,high floor,1.4
flat,214.0,3.0,3,2.0,Under Construction,1457.0,0,0,medium,1.0,mid floor,1.13
house,129.0,3.0,5,4.0,Moderately Old,920.0,0,0,medium,2.0,mid floor,1.95
flat,214.0,3.0,5,0.0,Relatively New,1950.0,0,0,medium,1.0,mid floor,1.75
flat,128.0,4.0,4,3.0,Relatively New,2602.0,1,1,medium,1.0,low floor,2.45
house,227.0,3.0,3,4.0,new property,2160.0,1,0,medium,1.0,high floor,4.7
house,49.0,2.0,2,0.0,old property,864.0,0,0,medium,1.0,mid floor,0.7
flat,235.0,3.0,3,2.0,new property,1179.0,0,0,medium,1.0,mid floor,1.3
house,134.0,4.0,4,4.0,new property,5400.0,1,0,high,0.0,mid floor,6.5
flat,175.0,2.0,2,3.0,new property,543.0,0,0,medium,2.0,high floor,0.55
flat,262.0,3.0,2,2.0,Under Construction,1014.0,0,0,medium,0.0,mid floor,0.9
flat,132.0,2.0,2,3.0,Relatively New,1281.0,0,0,medium,1.0,mid floor,1.15
flat,208.0,3.0,4,3.0,Relatively New,2150.0,1,0,medium,2.0,high floor,3.5
flat,238.0,4.0,4,4.0,Relatively New,2000.0,0,0,medium,0.0,high floor,1.78
flat,184.0,3.0,2,3.0,old property,1674.0,0,0,medium,1.0,high floor,2.5
house,176.0,6.0,6,4.0,Moderately Old,1836.0,1,0,medium,1.0,high floor,3.9
house,178.0,2.0,2,1.0,Moderately Old,810.0,0,0,medium,1.0,mid floor,0.55
flat,175.0,4.0,4,3.0,Relatively New,2091.0,0,0,high,0.0,low floor,1.67
flat,238.0,2.0,2,3.0,Relatively New,1050.0,0,0,medium,2.0,high floor,0.65
house,107.0,4.0,2,1.0,old property,1651.5,0,0,medium,1.0,mid floor,3.12
flat,207.0,3.0,4,3.0,Relatively New,2803.0,1,0,medium,1.0,high floor,5.5
flat,238.0,4.0,4,4.0,Relatively New,2005.0,0,0,high,1.0,high floor,2.05
house,193.0,6.0,3,4.0,Relatively New,900.0,0,0,medium,2.0,high floor,2.25
house,168.0,5.0,6,3.0,new property,500.0,1,0,medium,2.0,high floor,11.0
flat,127.0,2.0,2,3.0,Relatively New,1238.0,0,0,medium,1.0,mid floor,1.41
flat,223.0,3.0,3,0.0,Relatively New,1815.0,0,0,medium,1.0,low floor,1.65
flat,229.0,2.0,2,3.0,Relatively New,1300.0,0,0,high,2.0,high floor,0.98
flat,87.0,3.0,4,4.0,Relatively New,1956.0,0,0,medium,1.0,high floor,2.2
flat,232.0,3.0,3,1.0,Relatively New,1550.0,0,0,medium,0.0,low floor,1.5
house,128.0,4.0,4,4.0,Relatively New,3222.0,1,1,medium,0.0,mid floor,4.35
flat,212.0,3.0,3,1.0,Relatively New,1419.0,0,0,medium,2.0,low floor,1.3
flat,216.0,3.0,4,3.0,Moderately Old,1631.0,1,0,medium,1.0,high floor,1.1
flat,228.0,3.0,3,4.0,Relatively New,1668.0,0,0,low,0.0,high floor,1.59
flat,233.0,3.0,3,3.0,new property,1652.0,0,0,medium,2.0,low floor,1.65
flat,226.0,3.0,3,4.0,Relatively New,1750.0,1,0,low,1.0,low floor,2.28
flat,238.0,4.0,4,4.0,Relatively New,2139.0,1,0,medium,2.0,high floor,1.6
flat,238.0,3.0,3,4.0,Relatively New,1581.0,0,0,medium,2.0,low floor,1.21
flat,238.0,3.0,3,3.0,Moderately Old,1437.0,1,0,medium,2.0,low floor,1.25
flat,104.0,2.0,2,3.0,Moderately Old,1281.0,0,0,medium,2.0,low floor,0.98
flat,133.0,2.0,3,3.0,Relatively New,1161.0,0,0,medium,2.0,high floor,0.93
flat,203.0,3.0,3,2.0,new property,1402.0,0,0,medium,2.0,high floor,2.24
flat,198.0,3.0,3,3.0,old property,1810.0,1,0,high,2.0,high floor,1.55
flat,72.0,3.0,2,1.0,new property,950.0,0,0,medium,1.0,high floor,0.6
flat,223.0,2.0,2,4.0,Relatively New,1172.0,0,0,medium,1.0,low floor,0.78
flat,141.0,3.0,3,2.0,Under Construction,1429.0,0,0,medium,2.0,high floor,1.93
flat,129.0,4.0,4,4.0,Relatively New,3064.0,1,0,high,0.0,low floor,2.6
house,140.0,4.0,4,4.0,Relatively New,6350.0,1,0,high,2.0,mid floor,7.46
flat,157.0,4.0,6,4.0,new property,2778.0,1,0,low,1.0,high floor,4.8
flat,133.0,2.0,2,3.0,Relatively New,1167.0,1,0,medium,0.0,high floor,0.97
flat,127.0,2.0,2,2.0,Relatively New,828.0,0,0,medium,2.0,low floor,0.97
flat,240.0,3.0,4,2.0,Under Construction,1475.0,0,0,medium,2.0,mid floor,1.7
flat,121.0,2.0,2,0.0,Relatively New,1167.0,0,0,medium,1.0,high floor,0.55
house,34.0,3.0,3,3.0,Moderately Old,2430.0,0,0,medium,1.0,mid floor,6.75
flat,32.0,3.0,3,2.0,old property,1578.0,0,0,low,2.0,high floor,1.25
flat,238.0,3.0,3,4.0,Moderately Old,2144.0,1,0,medium,2.0,high floor,1.2
flat,214.0,3.0,5,3.0,Relatively New,1527.0,1,0,medium,0.0,high floor,1.65
house,114.0,2.0,7,3.0,Moderately Old,1300.0,0,0,medium,1.0,high floor,1.5
flat,230.0,2.0,2,4.0,Relatively New,1222.0,0,0,medium,2.0,high floor,0.69
flat,231.0,2.0,2,3.0,Relatively New,1660.0,0,0,medium,1.0,low floor,1.2
flat,240.0,3.0,4,3.0,Moderately Old,1778.0,0,0,medium,2.0,mid floor,0.75
