property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,219.0,2.0,2,2.0,new property,1272.0,0,0,medium,1.0,low floor,1.6
house,264.0,3.0,10,4.0,new property,1065.0,0,0,medium,1.0,high floor,0.95
flat,134.0,3.0,2,2.0,Relatively New,1213.0,0,0,high,1.0,high floor,0.79
flat,5.0,4.0,6,4.0,Moderately Old,4889.0,0,0,medium,1.0,high floor,6.0
flat,232.0,4.0,6,2.0,new property,2521.0,1,0,medium,2.0,low floor,1.3
flat,219.0,3.0,3,3.0,Relatively New,1900.0,0,0,medium,0.0,high floor,2.25
flat,262.0,2.0,2,3.0,new property,822.0,0,0,medium,2.0,mid floor,0.65
flat,226.0,2.0,2,2.0,Moderately Old,1397.0,0,0,medium,1.0,high floor,0.75
flat,212.0,4.0,6,4.0,Relatively New,2817.0,1,0,medium,0.0,low floor,3.1
flat,217.0,3.0,3,3.0,Moderately Old,2308.0,1,0,medium,1.0,high floor,4.1
flat,127.0,3.0,3,4.0,Relatively New,2222.0,1,0,high,2.0,high floor,1.98
flat,207.0,3.0,3,2.0,Under Construction,1654.0,0,0,medium,1.0,high floor,2.44
flat,142.0,2.0,2,1.0,Relatively New,1100.0,0,0,high,1.0,mid floor,0.72
flat,208.0,3.0,3,3.0,Relatively New,1800.0,1,0,high,1.0,high floor,2.99
flat,175.0,3.0,3,3.0,Relatively New,1707.0,0,0,medium,1.0,low floor,1.49
flat,212.0,4.0,4,4.0,Moderately Old,2172.0,1,0,medium,1.0,high floor,2.6
flat,207.0,3.0,3,3.0,Relatively New,1833.0,1,0,high,2.0,mid floor,2.0
house,194.0,9.0,9,4.0,Moderately Old,300.0,1,0,high,1.0,high floor,5.5
flat,174.0,2.0,2,2.0,new property,667.0,0,0,medium,1.0,high floor,0.4
flat,238.0,3.0,3,2.0,Relatively New,2167.0,0,0,high,1.0,high floor,0.92
flat,57.0,3.0,3,3.0,new property,1589.0,0,0,high,2.0,mid floor,1.53
flat,131.0,2.0,2,4.0,Relatively New,1120.0,0,0,medium,1.0,high floor,0.88
flat,127.0,3.0,3,4.0,Relatively New,2500.0,1,0,medium,0.0,mid floor,1.9
house,186.0,8.0,6,4.0,Moderately Old,2367.0,1,0,high,2.0,high floor,5.65
flat,241.0,2.0,2,0.0,Relatively New,730.0,0,0,medium,1.0,mid floor,0.4
house,36.0,4.0,4,4.0,Relatively New,160.0,1,0,high,2.0,mid floor,5.25
flat,209.0,3.0,4,2.0,Relatively New,2200.0,1,0,high,0.0,low floor,3.05
flat,219.0,2.0,2,2.0,Relatively New,1508.0,0,0,high,0.0,low floor,1.6
house,269.0,4.0,4,3.0,new property,2844.0,1,0,medium,2.0,high floor,3.51
house,135.0,3.0,4,3.0,Moderately Old,1836.0,0,0,high,1.0,high floor,3.6
flat,223.0,2.0,2,3.0,new property,81.0,0,0,medium,2.0,high floor,1.1
flat,132.0,2.0,2,3.0,Relatively New,1388.0,0,0,medium,2.0,high floor,1.02
flat,226.0,2.0,2,2.0,Relatively New,1260.0,0,0,high,0.0,low floor,0.95
flat,262.0,2.0,2,3.0,Relatively New,913.0,0,0,medium,2.0,high floor,0.55
flat,235.0,3.0,3,3.0,Under Construction,1288.0,0,0,medium,1.0,mid floor,1.25
house,74.0,1.0,4,3.0,Moderately Old,603.0,0,0,medium,1.0,high floor,0.92
flat,238.0,2.0,2,3.0,Relatively New,1222.0,0,0,medium,2.0,high floor,0.65
flat,196.0,3.0,3,4.0,Moderately Old,1700.0,0,0,high,2.0,high floor,1.5
flat,262.0,1.0,1,1.0,new property,778.0,0,0,medium,2.0,mid floor,0.22
flat,129.0,2.0,2,3.0,Relatively New,86.0,0,0,medium,2.0,low floor,0.82
flat,134.0,4.0,4,4.0,Relatively New,3150.0,1,1,high,0.0,high floor,2.95
flat,232.0,2.0,2,1.0,new property,1231.0,0,0,high,1.0,low floor,0.87
flat,207.0,3.0,4,3.0,Relatively New,1833.0,1,1,low,0.0,high floor,2.3
flat,207.0,2.0,2,3.0,Under Construction,1141.0,0,0,high,1.0,low floor,2.33
flat,134.0,3.0,4,4.0,Relatively New,1946.0,1,0,medium,2.0,high floor,1.75
flat,127.0,3.0,3,3.0,Relatively New,1493.0,1,0,high,1.0,high floor,1.39
flat,282.0,1.0,1,1.0,Moderately Old,565.0,0,0,medium,1.0,low floor,0.38
flat,262.0,3.0,3,3.0,Relatively New,1344.0,0,0,medium,0.0,high floor,0.78
flat,205.0,3.0,4,4.0,Moderately Old,1554.0,0,0,high,2.0,high floor,2.2
flat,250.0,3.0,2,2.0,Under Construction,1857.0,0,0,medium,2.0,low floor,1.67
house,37.0,4.0,5,4.0,Relatively New,2844.0,1,1,high,2.0,high floor,12.0
flat,171.0,1.0,1,1.0,Relatively New,452.0,0,0,medium,1.0,high floor,0.45
flat,101.0,3.0,3,3.0,Moderately Old,1900.0,0,0,high,1.0,high floor,2.35
flat,188.0,3.0,3,0.0,Relatively New,1923.0,1,0,medium,2.0,low floor,2.0
flat,282.0,4.0,4,4.0,old property,2013.0,1,0,medium,0.0,high floor,1.5
flat,141.0,3.0,2,2.0,Relatively New,1285.0,0,0,high,0.0,high floor,1.9
flat,132.0,2.0,2,1.0,Relatively New,598.0,0,0,low,1.0,high floor,0.49
flat,57.0,3.0,3,3.0,Under Construction,1430.0,0,0,medium,1.0,high floor,1.45
flat,212.0,3.0,3,2.0,Relatively New,1305.0,0,0,medium,2.0,mid floor,1.43
flat,223.0,3.0,3,3.0,new property,1656.0,0,0,high,2.0,mid floor,1.4
flat,57.0,4.0,5,4.0,new property,5249.0,1,0,medium,1.0,mid floor,5.25
house,173.0,2.0,3,2.0,Relatively New,1000.0,0,0,medium,1.0,mid floor,0.95
flat,212.0,4.0,4,2.0,Relatively New,1819.0,0,0,medium,1.0,mid floor,1.9
flat,129.0,3.0,4,4.0,Relatively New,2036.0,1,0,high,1.0,low floor,1.75
house,250.0,2.0,2,3.0,Relatively New,1400.0,0,0,high,2.0,mid floor,1.15
flat,93.0,2.0,2,2.0,Relatively New,1086.0,0,0,medium,1.0,high floor,0.67
flat,242.0,1.0,1,1.0,Relatively New,407.0,0,0,medium,2.0,mid floor,0.2
flat,212.0,3.0,3,2.0,Relatively New,1510.0,0,0,medium,0.0,mid floor,1.68
house,35.0,4.0,4,4.0,old property,1800.0,1,1,medium,2.0,mid floor,6.3
flat,212.0,3.0,2,4.0,Relatively New,1326.0,0,0,high,0.0,mid floor,0.9
flat,262.0,2.0,2,1.0,Relatively New,535.0,0,0,medium,1.0,mid floor,0.26
flat,210.0,3.0,3,2.0,new property,1346.0,0,1,high,0.0,high floor,1.6
flat,261.0,1.0,1,1.0,Relatively New,850.0,0,0,medium,1.0,high floor,1.0
flat,139.0,3.0,3,4.0,Under Construction,1615.0,0,0,medium,1.0,high floor,2.35
flat,134.0,3.0,4,4.0,Relatively New,1797.0,1,0,medium,2.0,high floor,1.45
house,179.0,4.0,4,2.0,old property,1440.0,0,0,medium,1.0,mid floor,2.35
flat,235.0,3.0,3,2.0,new property,1423.0,0,0,medium,1.0,high floor,1.2
house,56.0,6.0,7,4.0,Relatively New,4500.0,1,1,high,2.0,high floor,16.0
flat,245.0,2.0,1,0.0,Relatively New,500.0,0,0,medium,1.0,low floor,0.3
flat,229.0,3.0,3,1.0,Relatively New,2588.0,0,0,medium,2.0,high floor,1.3
flat,244.0,2.0,2,2.0,new property,733.0,0,0,medium,2.0,high floor,0.4
flat,140.0,2.0,2,2.0,Relatively New,1498.0,0,0,medium,2.0,high floor,0.7
house,178.0,1.0,1,0.0,Moderately Old,750.0,0,0,medium,1.0,mid floor,0.55
house,213.0,2.0,2,2.0,old property,1440.0,0,0,medium,1.0,mid floor,2.0
house,73.0,2.0,3,1.0,Moderately Old,675.0,0,0,medium,1.0,mid floor,0.8
flat,105.0,1.0,1,1.0,Moderately Old,556.0,0,0,medium,1.0,mid floor,0.2
house,134.0,4.0,5,3.0,Moderately Old,6228.0,0,0,medium,2.0,mid floor,6.0
flat,231.0,3.0,3,1.0,Relatively New,1344.0,0,0,medium,2.0,mid floor,0.88
flat,127.0,3.0,3,3.0,Relatively New,1315.0,1,0,medium,2.0,high floor,1.4
flat,133.0,3.0,4,2.0,new property,1876.0,0,0,medium,2.0,low floor,3.35
flat,127.0,3.0,3,3.0,Relatively New,1531.0,0,0,medium,2.0,mid floor,1.76
flat,245.0,2.0,2,2.0,new property,1133.0,0,0,medium,1.0,high floor,0.85
flat,73.0,2.0,2,1.0,Relatively New,833.0,0,0,high,1.0,high floor,0.42
house,95.0,2.0,2,2.0,Moderately Old,1080.0,0,0,high,2.0,mid floor,1.55
flat,232.0,2.0,2,1.0,new property,1231.0,0,0,medium,2.0,high floor,0.78
flat,168.0,2.0,2,2.0,Moderately Old,1275.0,0,0,medium,1.0,high floor,1.1
flat,212.0,3.0,3,2.0,Relatively New,1428.0,0,0,high,2.0,high floor,1.42
flat,133.0,2.0,2,2.0,Moderately Old,1362.0,0,0,medium,2.0,low floor,0.7
flat,176.0,4.0,4,4.0,old property,1954.0,0,0,low,1.0,high floor,2.1
house,101.0,3.0,3,2.0,Moderately Old,241.0,1,0,high,2.0,mid floor,7.5
flat,240.0,4.0,3,2.0,new property,1983.0,0,0,medium,1.0,low floor,0.95
flat,168.0,4.0,4,4.0,old property,4809.0,1,0,high,0.0,low floor,3.25
flat,198.0,3.0,3,3.0,Moderately Old,2200.0,0,0,medium,1.0,high floor,1.7
flat,233.0,2.0,2,3.0,Relatively New,1387.0,0,0,high,0.0,low floor,1.19
house,159.0,3.0,2,2.0,new property,1500.0,0,0,high,2.0,high floor,1.2
flat,127.0,2.0,2,2.0,new property,1166.0,0,0,high,1.0,low floor,1.4
flat,188.0,3.0,3,4.0,Moderately Old,1576.0,1,0,high,0.0,high floor,1.76
flat,232.0,3.0,2,3.0,Relatively New,1480.0,0,0,low,2.0,high floor,1.45
flat,212.0,3.0,3,2.0,Relatively New,1428.0,0,0,medium,2.0,high floor,1.4
flat,204.0,4.0,5,4.0,Relatively New,3925.0,1,1,high,0.0,high floor,7.15
flat,209.0,4.0,4,4.0,Relatively New,2250.0,1,0,high,0.0,mid floor,2.72
flat,241.0,2.0,2,2.0,new property,604.0,0,0,medium,1.0,low floor,0.4
flat,215.0,2.0,2,4.0,new property,1312.0,0,0,medium,2.0,high floor,1.1
flat,215.0,2.0,2,4.0,new property,1180.0,0,0,high,2.0,low floor,1.34
flat,262.0,2.0,2,4.0,Under Construction,1050.0,0,0,medium,2.0,high floor,0.95
house,188.0,5.0,6,3.0,Moderately Old,8775.0,1,1,high,2.0,mid floor,19.5
flat,140.0,4.0,6,4.0,Moderately Old,3662.34,1,0,high,0.0,low floor,5.6
flat,239.0,2.0,2,4.0,Moderately Old,1271.0,0,0,medium,2.0,high floor,0.96
flat,226.0,3.0,4,4.0,Relatively New,1760.0,1,0,low,0.0,low floor,2.34
flat,184.0,4.0,4,4.0,Moderately Old,3115.0,0,0,high,2.0,low floor,3.25
flat,221.0,3.0,4,3.0,Relatively New,1310.0,1,0,medium,1.0,high floor,1.25
flat,203.0,2.0,2,2.0,Under Construction,1333.0,0,0,medium,2.0,mid floor,1.47
house,169.0,3.0,1,0.0,Moderately Old,1081.0,0,0,medium,1.0,mid floor,0.75
house,37.0,5.0,6,4.0,new property,3240.0,1,0,high,0.0,high floor,10.5
flat,104.0,2.0,2,3.0,Moderately Old,1416.0,0,0,medium,2.0,low floor,0.98
flat,212.0,3.0,3,2.0,Relatively New,1482.0,0,0,medium,0.0,mid floor,1.66
flat,198.0,1.0,1,1.0,old property,475.0,0,0,medium,1.0,mid floor,0.52
flat,262.0,2.0,2,3.0,Relatively New,978.0,0,0,medium,1.0,low floor,0.66
house,85.0,4.0,4,1.0,Moderately Old,1700.0,0,0,medium,1.0,mid floor,0.7
house,104.0,5.0,5,2.0,old property,4680.0,1,1,low,2.0,mid floor,9.0
flat,231.0,2.0,2,4.0,Relatively New,1380.0,0,1,medium,0.0,mid floor,1.2
flat,171.0,1.0,1,1.0,Relatively New,407.0,0,0,medium,2.0,high floor,0.36
house,190.0,6.0,5,2.0,old property,2250.0,1,0,low,0.0,high floor,3.5
flat,209.0,3.0,4,4.0,Moderately Old,1751.0,1,0,high,0.0,low floor,2.35
flat,215.0,3.0,3,3.0,Relatively New,1788.0,1,0,medium,1.0,high floor,1.51
flat,229.0,2.0,2,2.0,Moderately Old,1100.0,0,0,high,2.0,low floor,0.85
flat,231.0,2.0,2,1.0,Under Construction,97.0,0,0,medium,1.0,low floor,1.05
flat,217.0,3.0,3,3.0,Moderately Old,1787.0,1,0,high,1.0,high floor,1.9
house,35.0,5.0,5,3.0,Moderately Old,1800.0,1,0,high,2.0,mid floor,6.25
flat,235.0,3.0,3,3.0,Under Construction,867.0,0,0,medium,1.0,mid floor,1.32
flat,131.0,2.0,2,4.0,Relatively New,940.0,0,0,medium,1.0,mid floor,0.88
flat,175.0,3.0,2,4.0,Relatively New,1376.0,0,0,medium,1.0,low floor,1.5
flat,134.0,3.0,3,3.0,Relatively New,1550.0,0,0,high,1.0,high floor,1.75
flat,174.0,3.0,3,3.0,Relatively New,1435.0,0,0,medium,2.0,high floor,0.9
flat,209.0,3.0,3,4.0,Relatively New,1900.0,0,1,high,0.0,high floor,3.0
flat,262.0,2.0,2,2.0,new property,588.0,0,0,medium,1.0,low floor,0.28
flat,262.0,2.0,2,3.0,new property,913.0,0,0,medium,2.0,high floor,0.56
house,88.0,3.0,3,1.0,Moderately Old,1872.0,0,0,medium,1.0,high floor,3.71
flat,141.0,3.0,3,4.0,new property,2006.0,1,0,medium,2.0,high floor,2.85
flat,174.0,3.0,3,3.0,Relatively New,1563.0,0,0,medium,1.0,mid floor,1.25
flat,129.0,3.0,4,4.0,Relatively New,2072.0,1,0,medium,2.0,high floor,2.0
flat,132.0,2.0,2,2.0,Relatively New,608.0,0,0,medium,1.0,high floor,0.35
flat,134.0,3.0,4,3.0,Relatively New,1896.0,1,0,medium,2.0,high floor,2.15
flat,221.0,4.0,3,3.0,Relatively New,1765.0,1,0,medium,2.0,high floor,1.64
house,73.0,3.0,3,0.0,Moderately Old,1130.0,0,0,medium,1.0,mid floor,0.85
flat,82.0,3.0,3,0.0,Moderately Old,2667.0,0,0,high,1.0,mid floor,2.4
house,110.0,4.0,5,2.0,old property,4950.0,0,0,medium,1.0,mid floor,4.5
flat,242.0,2.0,2,2.0,Relatively New,1300.0,0,0,medium,2.0,high floor,0.43
flat,127.0,3.0,3,3.0,Relatively New,1315.0,1,0,high,0.0,high floor,1.38
house,35.0,5.0,6,4.0,Moderately Old,4518.0,1,1,medium,0.0,high floor,15.5
flat,216.0,4.0,4,3.0,Moderately Old,2127.0,1,0,medium,1.0,high floor,1.35
flat,207.0,4.0,4,4.0,Relatively New,1787.0,1,0,medium,2.0,mid floor,3.0
flat,262.0,2.0,2,2.0,Relatively New,616.0,0,0,high,1.0,low floor,0.32
flat,132.0,2.0,2,4.0,Relatively New,1201.0,0,0,medium,0.0,low floor,0.75
flat,132.0,2.0,2,1.0,Relatively New,496.0,0,0,medium,1.0,high floor,0.36
flat,235.0,2.0,2,2.0,new property,1226.0,0,0,medium,1.0,mid floor,1.0
flat,262.0,2.0,2,2.0,new property,658.0,0,0,medium,1.0,low floor,0.35
flat,188.0,4.0,5,4.0,new property,3444.0,1,0,medium,2.0,high floor,4.3
flat,210.0,3.0,3,2.0,new property,1346.0,1,0,high,1.0,high floor,1.7
flat,212.0,3.0,3,1.0,Relatively New,1392.0,0,0,medium,2.0,low floor,1.36
house,198.0,6.0,6,4.0,Moderately Old,1530.0,0,0,high,1.0,mid floor,3.4
house,209.0,4.0,4,0.0,Moderately Old,2800.0,0,0,medium,1.0,high floor,3.0
house,29.0,9.0,9,4.0,Moderately Old,3510.0,1,0,medium,1.0,high floor,14.0
flat,133.0,3.0,5,2.0,new property,1900.0,1,0,medium,2.0,low floor,3.95
house,196.0,4.0,4,0.0,Moderately Old,270.0,0,0,medium,1.0,mid floor,5.7
flat,238.0,4.0,4,4.0,Moderately Old,2468.0,0,0,medium,2.0,high floor,1.65
flat,104.0,2.0,3,2.0,old property,1444.0,0,0,high,1.0,mid floor,0.95
flat,238.0,3.0,3,4.0,Relatively New,1929.0,1,0,medium,0.0,high floor,1.25
flat,137.0,5.0,5,3.0,Relatively New,3466.0,1,0,medium,0.0,high floor,3.79
house,98.0,2.0,2,2.0,Moderately Old,270.0,0,0,medium,1.0,high floor,0.34
house,36.0,2.0,4,3.0,old property,1080.0,0,0,medium,1.0,high floor,3.5
flat,127.0,3.0,3,3.0,Relatively New,1465.0,1,0,medium,1.0,high floor,1.75
house,215.0,2.0,2,4.0,new property,1319.0,1,0,medium,0.0,high floor,0.9
flat,203.0,2.0,2,2.0,new property,1278.0,0,0,medium,1.0,high floor,1.58
flat,240.0,3.0,3,1.0,Relatively New,579.0,0,0,medium,1.0,mid floor,0.5
house,188.0,4.0,4,2.0,Relatively New,2340.0,1,0,high,1.0,mid floor,5.5
flat,139.0,1.0,1,1.0,Relatively New,450.0,0,0,medium,1.0,high floor,0.36
flat,212.0,4.0,4,2.0,Relatively New,1889.0,0,0,medium,0.0,mid floor,2.0
house,209.0,6.0,7,4.0,Moderately Old,3600.0,1,1,high,0.0,high floor,8.0
flat,82.0,3.0,4,2.0,old property,2544.0,0,0,high,1.0,mid floor,2.45
flat,212.0,4.0,4,2.0,Relatively New,1889.0,0,0,medium,0.0,mid floor,2.05
flat,129.0,4.0,5,4.0,Relatively New,7222.0,0,0,medium,2.0,low floor,4.45
flat,127.0,2.0,2,3.0,Relatively New,1368.0,0,0,medium,1.0,low floor,1.42
flat,141.0,3.0,4,4.0,Relatively New,1940.0,1,0,medium,1.0,high floor,2.4
house,90.0,2.0,1,1.0,new property,83.0,0,1,medium,2.0,mid floor,0.55
house,273.0,3.0,3,2.0,old property,972.0,0,0,medium,1.0,high floor,0.6
house,34.0,5.0,5,4.0,Relatively New,4518.0,1,1,high,2.0,mid floor,17.0
flat,133.0,3.0,3,2.0,new property,1480.0,0,0,medium,0.0,low floor,2.5
flat,194.0,4.0,4,3.0,old property,1484.0,0,0,medium,2.0,high floor,1.5
flat,222.0,3.0,3,3.0,Moderately Old,1969.0,1,0,medium,1.0,high floor,1.15
flat,132.0,2.0,2,2.0,Relatively New,543.0,0,0,medium,1.0,mid floor,0.28
flat,170.0,3.0,2,3.0,new property,833.0,0,0,medium,1.0,mid floor,0.85
flat,226.0,4.0,4,4.0,Moderately Old,2527.0,1,0,medium,2.0,low floor,3.45
flat,217.0,4.0,4,4.0,Relatively New,2941.0,1,0,high,0.0,mid floor,4.25
flat,235.0,3.0,3,2.0,new property,1423.0,0,0,medium,1.0,mid floor,1.2
flat,128.0,2.0,2,2.0,Relatively New,698.0,0,0,medium,1.0,high floor,0.5
flat,233.0,2.0,2,4.0,Relatively New,133.0,0,0,low,2.0,high floor,1.45
flat,208.0,3.0,3,2.0,new property,1920.0,1,0,low,2.0,low floor,2.8
house,7.0,5.0,5,4.0,old property,160.0,0,0,high,2.0,mid floor,2.8
house,97.0,2.0,2,3.0,Moderately Old,1000.0,0,0,medium,1.0,high floor,1.15
house,134.0,4.0,4,4.0,new property,6228.0,1,0,medium,0.0,mid floor,6.75
house,79.0,5.0,3,2.0,old property,1350.0,0,0,medium,1.0,mid floor,1.15
flat,243.0,2.0,2,2.0,new property,571.0,0,0,medium,1.0,low floor,0.45
flat,239.0,4.0,4,4.0,Relatively New,2139.0,1,0,medium,2.0,high floor,1.75
flat,229.0,3.0,3,4.0,Relatively New,1600.0,0,0,high,2.0,high floor,1.1
flat,211.0,4.0,4,3.0,new property,1809.0,0,0,medium,1.0,mid floor,1.7
flat,133.0,2.0,2,3.0,Moderately Old,1720.0,0,0,high,1.0,mid floor,0.7
house,294.0,1.0,1,2.0,new property,540.0,0,0,medium,1.0,mid floor,0.3
flat,104.0,3.0,4,4.0,Moderately Old,1738.0,1,0,high,2.0,high floor,1.51
flat,232.0,2.0,2,2.0,Relatively New,668.0,0,0,high,2.0,high floor,0.44
flat,127.0,3.0,3,3.0,Relatively New,2351.0,1,0,high,0.0,low floor,2.35
flat,129.0,4.0,5,4.0,new property,2582.0,1,0,medium,2.0,mid floor,1.75
flat,212.0,4.0,4,1.0,Relatively New,1783.0,0,0,medium,2.0,low floor,1.75
flat,240.0,2.0,2,3.0,Under Construction,1195.0,0,0,medium,1.0,low floor,0.6
flat,198.0,3.0,3,3.0,Moderately Old,1910.0,0,0,high,0.0,high floor,1.38
flat,238.0,3.0,4,3.0,Relatively New,1765.0,1,0,medium,0.0,high floor,0.9
house,34.0,4.0,4,3.0,old property,150.0,0,0,medium,1.0,high floor,4.45
house,166.0,4.0,4,4.0,Moderately Old,1449.0,1,1,high,1.0,high floor,3.25
flat,223.0,2.0,2,1.0,new property,546.0,0,0,medium,2.0,high floor,0.36
flat,196.0,4.0,6,4.0,Moderately Old,2715.0,1,1,high,2.0,low floor,7.0
flat,229.0,3.0,3,3.0,Relatively New,1582.0,1,0,low,2.0,low floor,1.4
flat,101.0,3.0,3,3.0,Moderately Old,2000.0,0,1,high,0.0,high floor,2.35
flat,290.0,5.0,5,2.0,old property,2556.0,0,1,low,2.0,high floor,1.75
flat,231.0,4.0,5,4.0,Relatively New,2366.0,1,0,medium,0.0,high floor,2.15
flat,133.0,3.0,4,2.0,Relatively New,1600.0,0,0,medium,1.0,low floor,2.95
flat,164.0,2.0,2,2.0,Under Construction,956.0,0,0,medium,2.0,low floor,1.1
house,187.0,3.0,4,2.0,Moderately Old,1467.0,0,0,medium,1.0,mid floor,4.3
flat,222.0,4.0,4,3.0,Relatively New,2300.0,1,0,medium,2.0,mid floor,1.25
flat,222.0,1.0,2,2.0,Under Construction,823.0,0,0,medium,1.0,low floor,1.2
house,111.0,2.0,2,2.0,Moderately Old,2000.0,0,0,medium,1.0,high floor,9.9
flat,141.0,3.0,4,4.0,new property,2200.0,1,0,medium,0.0,low floor,3.35
flat,215.0,3.0,3,3.0,Relatively New,1925.0,0,0,medium,0.0,high floor,1.8
house,101.0,5.0,4,3.0,Moderately Old,239.0,0,1,high,2.0,mid floor,7.1
flat,223.0,2.0,2,0.0,Under Construction,1295.0,0,0,medium,1.0,high floor,0.71
flat,230.0,3.0,3,2.0,new property,1624.0,1,1,high,0.0,mid floor,1.48
flat,214.0,3.0,3,3.0,Under Construction,1688.0,0,0,medium,2.0,low floor,1.25
flat,209.0,3.0,3,4.0,Relatively New,2095.0,1,0,high,0.0,low floor,2.87
flat,203.0,3.0,3,2.0,Under Construction,1811.0,0,0,medium,1.0,high floor,2.2
flat,134.0,3.0,3,3.0,Relatively New,1650.0,0,1,high,0.0,low floor,1.65
flat,229.0,3.0,3,3.0,Relatively New,1387.0,1,1,high,0.0,mid floor,1.4
flat,221.0,3.0,3,3.0,Relatively New,1735.0,0,0,medium,1.0,high floor,1.4
house,275.0,6.0,6,3.0,Relatively New,1935.0,1,0,high,1.0,mid floor,5.8
flat,141.0,3.0,3,3.0,new property,2281.0,0,0,medium,1.0,high floor,3.21
house,10.0,3.0,4,3.0,Moderately Old,3500.0,0,0,high,1.0,high floor,0.9
house,217.0,5.0,6,4.0,Relatively New,6300.0,1,1,high,0.0,high floor,8.5
flat,229.0,1.0,1,1.0,Relatively New,520.0,0,0,low,2.0,high floor,0.4
flat,209.0,3.0,3,3.0,Relatively New,2150.0,1,0,high,0.0,high floor,2.95
flat,242.0,4.0,3,3.0,Relatively New,2824.0,1,0,medium,1.0,high floor,1.1
flat,174.0,3.0,3,3.0,Under Construction,1629.0,0,0,medium,2.0,high floor,1.0
flat,227.0,2.0,2,2.0,Relatively New,1299.0,0,0,high,2.0,low floor,1.0
flat,153.0,3.0,3,4.0,Moderately Old,1924.0,1,0,medium,1.0,high floor,0.92
flat,242.0,2.0,2,1.0,Relatively New,887.0,0,0,medium,2.0,mid floor,0.45
flat,238.0,4.0,5,2.0,Relatively New,2330.0,1,0,medium,0.0,high floor,1.25
flat,207.0,3.0,3,3.0,Relatively New,1493.0,1,0,high,0.0,mid floor,2.35
flat,212.0,3.0,3,1.0,Relatively New,1392.0,0,0,high,0.0,low floor,1.4
flat,242.0,2.0,2,3.0,Relatively New,990.0,0,0,medium,1.0,low floor,0.55
house,284.0,3.0,3,0.0,Moderately Old,1000.0,0,0,medium,1.0,mid floor,0.74
flat,196.0,4.0,6,3.0,Relatively New,2826.0,1,0,low,0.0,high floor,11.0
house,177.0,1.0,1,2.0,Relatively New,800.0,0,0,medium,1.0,high floor,1.8
flat,240.0,4.0,3,2.0,Relatively New,2167.0,0,0,medium,1.0,mid floor,1.0
flat,238.0,2.0,2,2.0,old property,1176.0,0,0,medium,2.0,low floor,0.65
flat,223.0,2.0,2,3.0,new property,1423.0,0,0,medium,1.0,high floor,1.3
flat,137.0,4.0,5,3.0,Relatively New,3077.0,1,0,medium,0.0,high floor,3.49
house,280.0,4.0,4,3.0,Relatively New,232.0,1,0,high,1.0,high floor,6.75
flat,127.0,2.0,2,2.0,Under Construction,1017.0,0,0,medium,1.0,mid floor,1.05
flat,37.0,3.0,3,2.0,old property,1700.0,1,0,medium,0.0,low floor,2.26
flat,198.0,1.0,1,2.0,old property,667.0,0,0,medium,1.0,high floor,0.5
flat,203.0,3.0,3,3.0,Under Construction,1822.0,0,1,medium,1.0,mid floor,2.54
flat,223.0,3.0,4,4.0,Relatively New,1963.0,1,0,medium,2.0,high floor,2.0
flat,238.0,3.0,3,3.0,Relatively New,1667.0,1,0,medium,2.0,high floor,0.95
flat,223.0,2.0,2,3.0,Relatively New,1325.0,0,0,medium,1.0,high floor,1.12
flat,104.0,2.0,2,3.0,Moderately Old,1281.0,0,0,medium,2.0,mid floor,1.01
flat,129.0,3.0,4,4.0,Moderately Old,2217.0,1,0,medium,2.0,high floor,2.3
flat,192.0,4.0,3,3.0,Moderately Old,3982.0,1,0,medium,1.0,high floor,6.0
house,208.0,5.0,5,4.0,new property,3240.0,1,1,high,2.0,high floor,12.0
flat,240.0,4.0,5,4.0,Moderately Old,1895.0,0,0,high,0.0,low floor,0.92
flat,141.0,4.0,4,4.0,Under Construction,2553.0,1,0,medium,2.0,low floor,3.25
flat,238.0,4.0,4,4.0,Relatively New,2020.0,0,0,high,0.0,high floor,1.76
flat,212.0,4.0,4,2.0,Relatively New,1819.0,0,0,high,2.0,high floor,1.75
house,29.0,4.0,4,2.0,old property,1935.0,1,0,high,2.0,mid floor,5.25
house,275.0,7.0,7,3.0,Relatively New,963.0,0,0,high,1.0,high floor,2.5
flat,129.0,2.0,2,1.0,Relatively New,515.0,0,0,medium,1.0,low floor,0.4
flat,238.0,3.0,4,3.0,Relatively New,1765.0,1,0,medium,0.0,high floor,0.9
flat,127.0,2.0,2,2.0,Relatively New,915.0,0,0,medium,1.0,low floor,0.95
flat,215.0,4.0,3,3.0,Relatively New,2111.0,0,0,high,1.0,mid floor,1.7
house,73.0,2.0,2,1.0,new property,50.0,0,0,high,2.0,mid floor,0.47
flat,131.0,2.0,2,4.0,Relatively New,940.0,0,0,medium,1.0,mid floor,0.95
flat,212.0,3.0,3,1.0,Relatively New,1392.0,0,0,medium,2.0,low floor,1.37
flat,262.0,2.0,2,2.0,new property,616.0,0,0,medium,2.0,low floor,0.35
flat,228.0,3.0,3,4.0,Relatively New,1545.0,1,0,low,0.0,high floor,1.8
house,264.0,5.0,5,4.0,Relatively New,1350.0,0,0,medium,1.0,high floor,1.35
flat,101.0,3.0,3,3.0,Moderately Old,1894.0,0,1,high,2.0,low floor,2.51
flat,13.0,2.0,2,1.0,Relatively New,570.0,0,0,low,1.0,mid floor,0.22
